projectID_PIMS+,projectID_Atlas,Short Title,Project Description,Lead Country,Regional Bureau,Source of Funds,VF,taxonomy_level2,Grant amount,target_Electricity access,target_Clean cooking,target_Energy services,target_total,results_Electricity access,results_Clean cooking,results_Energy services,results_total,investment gap,Partners
4998,,Grid-connected Small-Scale Photovoltaic Syste,"The project aims to develop and accelerate the adoption of grid-integrated photovoltaic (PV) power generation through adoption by individual users, households and small and medium size enterprises. Although Egypt is very rich in solar resource and is not able to meet its power demand , the present circumstances do not allow the development of widespread renewable power in general for several reasons. Some of these reasons are: lack of a renewable energy grid-code; lack of a framework to allow the sale of power to the grid; lack of technical know-how in the market; lack of technical solutions on the market; lack of user experience with the technology; and lack of user awareness with the possible solutions offered by today's PV technology.",Egypt,RBAS,,,,"3,536,364",,,,,,,,,,
5462,,San Salvador Urban Development,"The Project aims to introduce low-emission urban mobility concepts and energy efficiency management strategies among the municipalities composing the San Salvador Metropolitan Area (AMSS), thereby reducing national dependency on imported oil derivatives and combating energy sector GHG emissions. To this purpose, the Project will strengthen the institutional and legal framework for low-emission mobility solutions (including the Bus Rapid Transit SITRAMSS) and implement a trust fund for EE investment in the public sector (FIDEnergetica). It will develop technical standards and quality criteria as input for regulation and the design of demonstration pilots. Capacity building in the field of urban planning is addressed by fostering international partnerships and inter-sectorial working groups. The expected fuel savings (43,666 GJ annually) will benefit approx. 50,000 individuals (m/f: 40%/60%) and translates into fiscal budget savings of US$ 1.27 mln annually. EE measures by municipalities will translate into annual electricity savings (3,776 MWh annually) and budget savings of US$ 640,000. The estimated total GHG emission reductions over a 10-year period are about 67 kton CO2eq (direct) and 195 kton CO2e (post-project).",El Salvador,RBLAC,,,,"2,420,548",,,,,,,,,,
6432,,National project under the AMP,,Eswatini,RBA,,,,"863,242",,,,,,,,,,
6338,,Rural Electrification for African Countries,,Ethiopia,RBA,,,,"2,890,826",,,,,,,,,,
5721,,ADLIGHT,"Leapfrogging markets to high efficiency products (appliances, including lighting, and electrical equipment) Project Objective:  To promote the manufacturing and application of high efficiency lighting technologies in Indonesia through the transformation of the national market, thereby reducing electricity demand and the related greenhouse gas (GHG) emissions",Indonesia,RBAP,,,,"2,633,372",,,,,,,,,,
6159,,POIDIER,Project Objective: Facilitation of outer island development through the achievement of the renewable energy and energy efficiency targets of Kiribati.,Kiribati,RBAP,,,,"5,379,452",,,,,,,,,,
6468,,Lebanon Sustainable Low-emission Transport Systems,"Project proposes several approaches: on the one hand to tackle the policy issues and provide technical options for the best way forward to improve the situation in transport and to introduce efficient transport technologies to the market. On the other hand, the project will consider piloting a renewable energy pilot application for charging stations or some other modality to determine the applicability of charging electric vehicles.  Finally, the project will work with NGOs and universities to promote research on the topic and raise awareness on sustainable transport and modal transport change.
Objective: Promotion of Sustainable Transport in Lebanon using transport demand management and low carbon vehicles.
Component 1: Institutional and policy support for the promotion of sustainable low emissions transport systems
Component 2: Increased deployment of sustainable low-emission transport systems and support services
Component 3: Knowledge management, capacity development and awareness raisingProject proposes several approaches: on the one hand to tackle the policy issues and provide technical options for the best way forward to improve the situation in transport and to introduce efficient transport technologies to the market. On the other hand, the project will consider piloting a renewable energy pilot application for charging stations or some other modality to determine the applicability of charging electric vehicles.  Finally, the project will work with NGOs and universities to promote research on the topic and raise awareness on sustainable transport and modal transport change.
Objective: Promotion of Sustainable Transport in Lebanon using transport demand management and low carbon vehicles.
Component 1: Institutional and policy support for the promotion of sustainable low emissions transport systems
Component 2: Increased deployment of sustainable low-emission transport systems and support services
Component 3: Knowledge management, capacity development and awareness raising",Lebanon,RBAS,,,,"3,552,968",,,,,,,,,,
6512,,GEF Africa Minigrids Program,Supporting access to clean energy by increasing the financial viability and promoting scaled-up commercial investment in minigrids in Malawi.,Malawi,RBA,,,,"396,125",,,,,,,,,,
6188,,SMARTEN,The stated objective of this proposed SMARTEN project is to enable the increased applications of feasible RE and EE technologies for supporting socio-economic development in Nauru in accord with the country’s energy roadmap targets. ,Nauru,RBAP,,,,"3,302,968",,,,,,,,,,
6037,,AREAN,"Enabling the achievement of the energy access, sustainable energy, and green growth targets of Niue",Niue,RBAP,,,,"3,321,563",,,,,,,,,,
5194,,DREAMS,"The objective of the Project is to reduce GHG emissions through the promotion and facilitation of the commercialization of renewable energy (RE) markets through the removal of barriers to increase investments in RE-based power generation projects.  This will be achieved through 4 components with the following outcomes: 1) Enforcement of a supportive policy and regulatory environment for leveraging investment in RE development and applications at the local level, and increased financing for RE project investments and RE market development services; 2) strengthened institutional capacity that leads to increased RE investment at the local level; 3) increased share of RE-based power capacity; and 4) increased confidence of local RE developers that leads to an enhanced uptake of RE projects and successful replication of operational RE projects using proven and emerging RE technologies.  The Project will lead to direct lifetime GHG emission reductions of 2.445 ktonnes CO2, and indirect CO2 reductions ranging from 4,889 to 141,000 ktonnes CO2.",Philippines,RBAP,,,,"5,200,000",,,,,,,,,,
6089,,SPIRES (Rural Electrification),Facilitation of the achievement of increased access to electricity in rural communities in the Solomon Islands.,Solomon Islands,RBAP,,,,"2,639,726",,,,,,,,,,
6328,,Somalia national child project - Africa Minigrids Program (AMP),,Somalia,RBAS,,,,"3,276,147",,,,,,,,,,
5674,,UNEP Efficient Appliances Global PFD,"The main objective of the project is to transform Sudan’s markets for energy efficient (EE) lighting and air conditioners providing climate change mitigation benefits and decreased energy poverty. The baseline activities fall short of comprehensively addressing the challenges of radically transforming Sudan’s markets for energy efficient (EE) lighting and air-conditioners. The alternative project strategy consists of a top-down component integrated with several bottom-up activities including mainstreaming gender into project activities. The top-down component comprises the development of standards, enforcement of regulations supporting energy efficient products, and building the institutional framework capable of maintaining steady market development. Bottom-up activities target the creation of positive ambience for the implementation of the new regulations on the levels of distributors and end users.",Sudan,RBAS,,,,"1,770,000",,,,,,,,,,
5476,,Green Energy SME Development Project,"The project’s strategic objective is to facilitate the transformation of Tajikistan’s energy sector, in particular the emergence of independent energy entrepreneurs, which can offer affordable and sustainable energy products and services to the rural population. In line with UNDP’s Derisking Renewable Energy Investment approach, the project consists of three inter-linked components dealing with policy derisking, financial derisking and incentives, and a fourth cross-cutting component that addresses knowledge-related gaps. The first component addresses policy barriers faced by Green Energy (GE) enterprises/SMEs by supporting the development and implementation of the enabling policy framework. Under the second component, in partnership with local and international financial institutions, the project facilitates access to GE finance at affordable terms. The third component focuses on the supply chain to develop and improve GE products and services and bring them to the market, including through the provision of targeted investment support to innovative and scalable business models for GE products/service delivery in off-grid rural areas. Under the fourth component, knowledge gaps are addressed on both the supply and demand side of the market.",Tajikistan,RBEC,,,,"2,519,963",,,,,,,,,,
5957,,EE in the Refrigeration and A/C Sector,"The project’s vision is to create a sustained market change towards the adoption of low-carbon RAC technologies in
Trinidad and Tobago, which will deliver multiple benefits at local, regional and global levels through the integration of energy efficient technologies that would reduce the use of high GWP and ODS refrigerants.  The project’s vision is to create a sustained market change towards the adoption of low-carbon RAC technologies in
Trinidad and Tobago, which will deliver multiple benefits at local, regional and global levels through the integration of energy efficient technologies that would reduce the use of high GWP and ODS refrigerants.  ",Trinidad & Tobago,RBLAC,,,,"5,152,392",,,,,,,,,,
5323,,SEFM for Solar PV for Forest Villages,"This project will assist Turkey with the promotion and financing of on-grid village cooperative solar PV in forest villages. The public support and involvement in the initiative will be led by the General Directorate of Forestry, Department of Forest and Village Relations (aka ORKOY), working together with other key actors in the solar PV value chain, including private sector solar PV installers, Turkish utilities, and domestic and international banks as well as other institutions that provide financing.",Türkiye,RBEC,,,,"3,780,000",,,,,,,,,,
5285,,TEEEM - EE Motors,The project aims to promote significant additional investment in industrial energy efficiency in Turkey by transforming the market for energy efficient motors used in small and medium sized enterprises.,Türkiye,RBEC,,,,"3,750,000",,,,,,,,,,
5452,,Sustainable Cities: Ashgabat and Awaza,"Population growth and economic development have led to rapid expansion of cities in Turkmenistan over the past two decades, most notably in the capital city of Ashgabat and the resort zone of Awaza on the Caspian Sea.  This growth has had an increasing negative environmental impact – resource consumption, waste, local air and water pollution, and emissions of greenhouse gases (GHG).  Ashgabat and Awaza have already embraced some measures to manage this impact.  But there remains much untapped technical potential to decrease the volume and impact of private vehicle traffic in all cities, further expand efficient street lighting, reduce waste and increase recycling, and introduce “green” practices to hotels. 
The development challenge of the project is to measurably reduce the negative impacts of urban growth in Turkmenistan while also advancing social and economic development goals.  To this end, the project will provide technical assistance, institutional and policy support, organization and development of programs, and promotion of behavioral change, all in conjunction with national priorities and specific needs articulated by the Government.  Measures introduced in Ashgabat and Awaza will yield significant GHG emissions reductions and social benefits in themselves, while also creating a basis for replication elsewhere in Turkmenistan.",Turkmenistan,RBEC,,,,"6,060,046",,,,,,,,,,
5613,,FASNETT,"FASNETT is aimed at facilitating the development and utilization of feasible renewable energy resources and application of energy efficiency technologies for achieving the Government of Tuvalu’s updated target of reducing emissions of greenhouse gases from the electricity generation (power) sector by 100% by 2025 based on the country’s INDC in November 2015. The facilitation or enabling objective is meant to address, i.e., eliminate the identified barriers to the cost-effective application of RE technologies using the country’s indigenous RE resources, as well in the effective and extensive application of EE measures and techniques that are also in line with low carbon development and involved in the sustainable development in the country through a barrier removal approach. This will be achieved through the implementation of four project components: (1) Awareness Raising on Renewable Energy and Energy Efficiency Applications; (2) Energy Policy Improvement and Institutional Capacity Building; (3) Applications of Renewable Energy & Energy Efficiency Technologies & Techniques and (4) Financing of Renewable Energy and Energy Efficiency Initiatives. The project is financially supported through the GEF (USD 2,639,725) and co-financed by the UNDP (USD 250,000), the Government of Tuvalu (USD 8,250,000) and Tuvalu Electricity Corporation (USD 7,400,000).",Tuvalu,RBAP,,,,"2,639,725",,,,,,,,,,
5574,,NAMA Integrated Wastewater Treatment,,Uganda,RBA,,,,"2,170,030",,,,,,,,,,
4114,,EE in Public Buildings,"The objective of this project is to accelerate implementation of energy efficiency measures in public buildings in Ukraine through the ESCO modality, utilising EPC contracts, by leveraging over significant private sector investment over its five-year implementation period, including through the launching of a financial support mechanism, as well as by introducing a single nationwide energy management information systems (EMIS) for Ukraine.",Ukraine,RBEC,,,,"5,480,000",,,,,,,,,,
6417,,TAILEV,"To accelerate the adoption of electric vehicles in the City of Tashkent that can be replicated in other cities in the Republic of Uzbekistan, significantly reduce greenhouse gas emissions in the transport sector, and improve urban environmental quality.",Uzbekistan,RBEC,,,,"3,569,725",,,,,,,,,,
5392,,Sustainable Rural Housing in Uzbekistan,"The UNDP project objective is to provide Uzbekistan’s rural population with improved, affordable and environmentally friendly living conditions. The project seeks to transform the rapidly growing rural housing sector in Uzbekistan towards a more sustainable and low-carbon development pathway by designing, piloting and scaling-up a green mortgage market mechanism, which will boost the demand for low-carbon housing among the Uzbek rural population.",Uzbekistan,RBEC,,,,"6,000,000",,,,,,,,,,
5926,,BRANTV,"Enabling the achievement of the energy access, sustainable energy, and green growth targets of Vanuatu",Vanuatu,RBAP,,,,"2,639,726",,,,,,,,,,
5749,,The Climate Aggregation Platform for Developing Countries,"The Climate Aggregation Platform (CAP) will promote the scale-up of financial aggregation for small-scale, low-carbon energy assets in developing countries. The project aims to help build in-country pipelines of high-quality, standardised low-carbon energy assets and to develop new low-cost sources of financing, building awareness and trust with investors in this new asset class. In so doing, the project can contribute to improving the lives of citizens in developing countries, bringing about affordable, reliable and clean energy.",New York - GEF,Global,,,,"1,950,000",,,,,,,,,,
5490,,De-risking Renewable Energy Investment,The objective of the project is to promote private sector investment in renewable energy in Kazakhstan to achieve Kazakhstan’s 2030 and 2050 targets for renewable energy. The project targets both large-scale and small-scale renewable energy.,Kazakhstan,RBEC,,,,"4,510,000",,,,,,,,,,
5284,,PV pumping systems for irrigation,"Morocco, a country strongly vulnerable to the effects of climate change (CC), has embarked on an early and voluntary national process to address CC, implementing various activities and programs for the sustainable and low carbon socio-economic development of the Kingdom.  The Kingdom has recently submitted its Intended Nationally Determined Contributions (INDCs) to UNFCCC.  With international support, Morocco has committed to cutting its GHG emissions by 32% by 2030.  This project falls within the framework of the national strategy of large-scale development of renewables in Morocco which advocates for sustainable energy sources, the industrial integration of clean technologies, and the creation of green jobs.   This strategy strives for mitigating GHG emissions associated with the use of fossil energies by reaching a target of 42% installed capacity of renewable in the national grid by 2020.  The project is also informed by the objectives of the Green Morocco Plan (GMP) which aims at developing a sustainable agriculture by, inter alia, the rational use of resources and recourse to drip irrigation practices.  The present project aims to promote the take-up of PV-powered drip irrigation pumping systems in Morocco by creating a conducive framework for the implementation of the national programme; strengthening the capacities of the various actors concerned; supporting awareness raising  of operators and  farmers on the economic and environmental benefits of solar pumping; putting in place financing mechanisms to facilitate the acquisition of PV pumping systems; standardizing solar installations for irrigation; and implementing a monitoring framework to track project impacts  as regards GHG emission reductions. The National Focal Point of the project is the National Agency for the Development of Renewable Energy and Energy Efficiency (ADEREE).  The project will be implemented in close cooperation with MEMEE, MAPM, GCAM, MEF and others",Morocco,RBAS,,,,"2,639,726",,,,,,,,,,
6339,,Africa Minigrids Program,Project Objective:  Supporting access to clean energy by increasing the financial viability and promoting scaled-up commercial investment in minigrids in Nigeria,Nigeria,RBA,,,,"5,905,046",,,,,,,,,,
5569,,FREAGER,"Brief project description: PNG’s greenhouse gas (GHG) reduction efforts to date have focused on the forestry sector. Yet, despite low per capita energy use at present, with only 15 percent of the population having access to electricity, the adoption of renewable energy (RE) and energy efficiency (EE) technologies in PNG has strong potential both to reduce current GHG emissions and avoid future, growing GHG emissions expected as rising per capita energy use and electrification accompany development of the nation. Analysis shows that community RE mini-grid and township diesel center based EE programs present particularly compelling win-win propositions for PNG. Over time, both will present substantial cost savings over the business-as-usual case, in which diesel is used, while at the same time lowering present or avoiding future GHG emissions. FREAGER will demonstrate the relevant technologies for and aim to achieve widespread replication of micro/mini-hydro mini-grids, solar PV mini-grids, and township EE programs. It will aim to do so by removing barriers to these technologies in the areas of policy and planning, technical and commercial viability, availability of financing, and information and awareness. In the policy and planning area, the project will promote these technologies via: capacity building programs for officials, through which the officials develop actual pipeline RE mini-grid projects and township EE programs; design of policy incentives; standards work; national roadmaps for community RE mini-grids and township EE programs; and provincial level RE and EE plans. Technical and commercial viability will be supported through capacity building for technical personnel on RE mini-grids and on building and industrial EE. It will also be supported through developing and disseminating information on best international sourcing channels for EE and RE and on the “honest,” best costing for community RE mini-grids in PNG. Project demos will include two mini-hydro mini-grids and one PV mini-grid, with support also provided for productive use of RE at all three sites. In addition, demos of comprehensive EE programs (including building and industrial energy audits and retrofits, support for residential customers, support for future, large power customers, and street lighting retrofits) will be developed in two townships that are fully powered by diesel. The project will also support demonstration of PPAs and billing systems, as well as O&M training, for two mini-hydro projects that are already under development. Efforts related to financing EE and RE will include capacity building for the financial sector and the set-up of an ESCO fund to finance EE retrofits and a loan fund for community RE projects. Information and awareness work will include support to develop domestic manufacturing of RE mini-grid and EE products (and thus achieve lower cots) and briefings on the cost competitiveness of RE and EE as compared to diesel. It will further include a multi-channel media campaign for RE and EE and educational materials on RE and EE. It will also include RE mini-grid how-to handbooks tailored to PNG, pipeline RE mini-grid project listings, data from RE resource assessments, and curriculum from various project workshops, all available at a one-stop-shop website on RE and EE in PNG.",Papua New Guinea,RBAP,,,,"2,840,640",,,,,,,,,,
6388,,Energy Efficiency in Buildings,The objective of the project is to reduce greenhouse gas emissions by improving the energy efficiency and promoting the use of renewable energy sources in public buildings with a particular focus on state owned buildings .,Serbia,RBEC,,,,"1,405,000",,,,,,,,,,
6321,,Sudan national child project - Africa Minigrids Program (AMP),"Supporting access to clean energy by increasing the financial viability and promoting scaled-up commercial investment in minigrids in Sudan.                                                             The Sudan Child Project will be composed of four mutually reinforcing components:
• Component 1: Policy and regulation
• Component 2: Minigrid project and business model innovation with private sector engagement
• Component 3: Innovative financing for minigrids
• Component 4: Convening, dissemination, and tracking progress (Knowledge management)",Sudan,RBAS,,,,"2,637,246",,,,,,,,,,
