country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop
Central African Republic,2020,WorldBank,15.5,"4,082,837",33.6,"1,354,030",2.3,"2,728,807",
Chad,2020,WorldBank,11.1,"14,605,855",40.6,"2,293,892",2.0,"12,311,962",
Chile,2020,WorldBank,100.0,0,100.0,0,100.0,0,
China,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Colombia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Comoros,2020,WorldBank,86.7,"115,333",99.7,719,81.3,"114,615",
Congo,2020,WorldBank,49.5,"2,785,693",66.0,"1,272,385",14.8,"1,513,308",
Cook Islands,2020,WorldBank,100.0,0,100.0,0,0.0,0,
Costa Rica,2020,WorldBank,99.9,"5,094",99.9,"2,469",99.7,"2,625",
Côte d’Ivoire,2020,WorldBank,69.7,"7,998,124",94.5,"754,163",43.1,"7,243,962",
Croatia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Cuba,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Curaçao,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Cyprus,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Czechia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Democratic People's Republic of Korea,2020,WorldBank,52.3,"12,293,003",43.3,"9,110,664",67.2,"3,182,338",
Democratic Republic of the Congo,2020,WorldBank,19.1,"72,455,176",40.7,"24,254,680",1.0,"48,200,496",
Denmark,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Djibouti,2020,WorldBank,61.8,"377,742",72.2,"214,735",24.8,"163,007",
Dominica,2020,WorldBank,100.0,0,0.0,0,0.0,0,
Dominican Republic,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Ecuador,2020,WorldBank,98.9,"202,895",99.7,"38,491",97.4,"164,404",
Egypt,2020,WorldBank,100.0,0,100.0,0,100.0,0,
El Salvador,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Equatorial Guinea,2020,WorldBank,66.7,"466,524",91.0,"92,641",0.9,"373,883",
Eritrea,2020,WorldBank,52.2,"1,649,481",76.3,"288,205",39.0,"1,361,276",
Estonia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Eswatini,2020,WorldBank,79.7,"235,159",92.2,"21,877",75.8,"213,283",
Ethiopia,2020,WorldBank,51.1,"56,224,110",93.2,"1,684,059",39.4,"54,540,051",
Faroe Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Fiji,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Finland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
France,2020,WorldBank,100.0,0,100.0,0,100.0,0,
French Polynesia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Gabon,2020,WorldBank,91.6,"187,594",98.6,"28,294",27.8,"159,300",
Gambia,2020,WorldBank,62.3,"911,733",80.6,"292,877",31.6,"618,856",
Georgia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Germany,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Ghana,2020,WorldBank,85.9,"4,389,504",94.7,"942,594",74.0,"3,446,910",
Gibraltar,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Greece,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Greenland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Grenada,2020,WorldBank,93.6,"7,216",0.0,0,0.0,0,
Guam,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Guatemala,2020,WorldBank,97.1,"496,433",97.5,"222,038",96.6,"274,395",
Guinea,2020,WorldBank,44.7,"7,266,547",88.1,"577,087",19.3,"6,689,461",
Guinea-Bissau,2020,WorldBank,33.3,"1,311,957",56.3,"380,314",15.2,"931,643",
Guyana,2020,WorldBank,92.5,"58,673",96.9,"6,533",90.9,"52,140",
Haiti,2020,WorldBank,46.9,"6,051,834",80.5,"1,266,435",2.2,"4,785,398",
Honduras,2020,WorldBank,93.2,"672,849",100.0,0,83.7,"672,849",
Hungary,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Iceland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
India,2020,WorldBank,99.0,"13,800,044",100.0,0,98.5,"13,800,044",
Indonesia,2020,WorldBank,97.0,"8,342,470",99.6,"619,706",93.5,"7,722,764",
Iran (Islamic Republic of),2020,WorldBank,100.0,0,100.0,0,100.0,0,
Iraq,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Ireland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Isle of Man,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Israel,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Italy,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Jamaica,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Japan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Jordan,2020,WorldBank,99.9,"10,203",100.0,0,98.8,"10,203",
Kazakhstan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Kenya,2020,WorldBank,71.4,"15,358,190",94.0,"905,271",62.7,"14,452,919",
Kiribati,2020,WorldBank,92.0,"9,600",88.4,"7,710",96.4,"1,890",
Kuwait,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Kyrgyzstan,2020,WorldBank,100.0,"1,249",99.5,"12,048",100.0,0,
Lao People's Democratic Republic,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Latvia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Lebanon,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Lesotho,2020,WorldBank,47.4,"1,127,837",77.7,"138,515",34.9,"989,322",
Liberia,2020,WorldBank,27.5,"3,665,060",45.2,"1,444,425",8.4,"2,220,636",
Libya,2020,WorldBank,69.7,"2,081,495",100.0,0,0.0,0,
Liechtenstein,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Lithuania,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Luxembourg,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Madagascar,2020,WorldBank,33.7,"18,349,432",70.2,"3,183,854",10.9,"15,165,579",
Malawi,2020,WorldBank,14.9,"16,285,949",54.0,"1,534,195",6.6,"14,751,754",
Malaysia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Maldives,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Mali,2020,WorldBank,50.6,"10,011,725",94.1,"525,606",16.5,"9,486,119",
Malta,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Marshall Islands,2020,WorldBank,99.2,497,96.0,"1,865",100.0,0,
Mauritania,2020,WorldBank,47.3,"2,448,119",88.4,"299,058",0.0,0,
Mauritius,2020,WorldBank,99.7,"4,283",99.4,"3,051",99.8,"1,232",
Mexico,2020,WorldBank,99.4,"773,597",99.8,"208,177",97.7,"565,419",
Micronesia (Federated States of),2020,WorldBank,82.9,"19,639",96.7,869,78.8,"18,770",
Monaco,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Mongolia,2020,WorldBank,98.1,"62,288",99.7,"6,752",94.6,"55,535",
Montenegro,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Morocco,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Mozambique,2020,WorldBank,30.6,"21,690,074",75.0,"2,901,172",4.5,"18,788,902",
Myanmar,2020,WorldBank,70.4,"16,106,826",93.0,"1,180,324",60.2,"14,926,501",
Namibia,2020,WorldBank,56.3,"1,111,430",74.7,"334,908",36.3,"776,522",
Nauru,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Nepal,2020,WorldBank,89.9,"2,942,818",94.2,"347,721",88.8,"2,595,097",
Netherlands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
New Caledonia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
New Zealand,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Nicaragua,2020,WorldBank,88.9,"734,837",100.0,0,72.9,"734,837",
Niger,2020,WorldBank,19.3,"19,546,396",48.4,"2,077,053",13.4,"17,469,343",
Nigeria,2020,WorldBank,55.4,"91,938,256",83.9,"17,244,067",24.6,"74,694,189",
Niue,2020,WorldBank,99.7,0,100.0,0,0.0,0,
North Macedonia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Northern Mariana Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Norway,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Oman,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Pakistan,2020,WorldBank,75.4,"54,384,372",100.0,0,60.8,"54,384,372",
Palau,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Panama,2020,WorldBank,96.7,"142,187",99.7,"9,287",90.2,"132,900",
Papua New Guinea,2020,WorldBank,60.4,"3,543,023",83.6,"195,813",56.8,"3,347,210",
Paraguay,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Peru,2020,WorldBank,99.3,"226,908",100.0,0,96.8,"226,908",
Philippines,2020,WorldBank,96.8,"3,460,150",98.2,"917,400",95.6,"2,542,749",
Poland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Portugal,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Puerto Rico,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Qatar,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Republic of Korea,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Republic of Moldova,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Romania,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Russian Federation,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Rwanda,2020,WorldBank,46.6,"6,916,480",86.4,"307,065",38.2,"6,609,415",
Saint Kitts and Nevis,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Saint Lucia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Saint Martin (French Part),2020,WorldBank,100.0,0,100.0,0,100.0,0,
Saint Vincent and the Grenadines,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Samoa,2020,WorldBank,100.0,0,100.0,5,100.0,0,
San Marino,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Sao Tome and Principe,2020,WorldBank,76.6,"51,373",78.4,"35,117",71.1,"16,256",
Saudi Arabia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Senegal,2020,WorldBank,70.4,"4,961,404",95.2,"388,660",47.4,"4,572,744",
Serbia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Seychelles,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Sierra Leone,2020,WorldBank,26.2,"5,886,944",54.7,"1,551,283",4.8,"4,335,661",
Singapore,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Sint Maarten (Dutch part),2020,WorldBank,100.0,0,100.0,0,100.0,0,
Slovakia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Slovenia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Solomon Islands,2020,WorldBank,73.3,"183,077",77.3,"38,438",72.0,"144,639",
Somalia,2020,WorldBank,49.7,"7,989,383",70.1,"2,191,184",32.3,"5,798,199",
South Africa,2020,WorldBank,84.4,"9,260,734",88.8,"4,471,535",75.3,"4,789,199",
South Sudan,2020,WorldBank,7.2,"10,383,153",13.9,"1,947,447",5.6,"8,435,706",
Spain,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Sri Lanka,2020,WorldBank,100.0,0,100.0,0,100.0,0,
State of Palestine,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Sudan,2020,WorldBank,55.4,"19,561,290",81.5,"2,857,035",41.2,"16,704,255",
Suriname,2020,WorldBank,98.2,"10,531",99.0,"3,955",96.7,"6,576",
Sweden,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Switzerland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Syrian Arab Republic,2020,WorldBank,89.1,"1,900,515",100.0,0,75.6,"1,900,515",
Tajikistan,2020,WorldBank,99.8,"21,050",99.1,"24,848",100.0,0,
Thailand,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Timor-Leste,2020,WorldBank,96.1,"51,112",100.0,0,94.4,"51,112",
Togo,2020,WorldBank,54.0,"3,808,432",94.1,"207,504",24.0,"3,600,927",
Tonga,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Trinidad and Tobago,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Tunisia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Turkey,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Turkmenistan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Turks and Caicos Islands,2020,WorldBank,99.4,232,100.0,0,100.0,0,
Tuvalu,2020,WorldBank,99.7,37,100.0,0,99.1,37,
Uganda,2020,WorldBank,42.1,"26,495,741",69.9,"3,438,987",32.8,"23,056,754",
Ukraine,2020,WorldBank,100.0,0,100.0,0,100.0,0,
United Arab Emirates,2020,WorldBank,100.0,0,100.0,0,100.0,0,
United Kingdom of Great Britain and Northern Ireland,2020,WorldBank,100.0,0,100.0,0,100.0,0,
United Republic of Tanzania,2020,WorldBank,39.9,"35,900,262",72.9,"5,702,537",22.0,"30,197,725",
United States of America,2020,WorldBank,100.0,0,100.0,0,100.0,0,
United States Virgin Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Uruguay,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Uzbekistan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Vanuatu,2020,WorldBank,67.3,"100,336",95.6,"3,461",57.7,"96,875",
Venezuela (Bolivarian Republic of),2020,WorldBank,100.0,0,100.0,0,100.0,0,
Viet Nam,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Yemen,2020,WorldBank,73.8,"7,826,952",93.1,"778,622",61.9,"7,048,330",
Zambia,2020,WorldBank,44.5,"10,198,596",82.4,"1,445,431",14.0,"8,753,165",
Zimbabwe,2020,WorldBank,52.7,"7,023,080",85.7,"684,529",37.1,"6,338,550",
