country,year,data_source,poverty_headcount
Sint Maarten (Dutch part),n/a,n/a,n/a
Slovakia,2019,WB,0.1
Slovenia,2019,WB,0
Solomon Islands,2012,WB,26.6
Somalia,2017,WB,70.7
South Africa,2014,WB,20.5
South Sudan,2016,WB,67.3
Spain,2019,WB,0.8
Sri Lanka,2016,WB,1.3
State of Palestine,n/a,n/a,n/a
Sudan,2014,WB,15.3
Suriname,1999,WB,18.4
Sweden,2019,WB,0.3
Switzerland,2018,WB,0
Syrian Arab Republic,2003,WB,1.1
Tajikistan,2015,WB,6.1
Thailand,2020,WB,0
Timor-Leste,2014,WB,8
Togo,2018,WB,28.1
Tonga,2015,WB,1.1
Trinidad and Tobago,1992,WB,2.1
Tunisia,2015,WB,0.1
Turkey,2019,WB,0.4
Turkmenistan,1998,WB,43.1
Turks and Caicos Islands,n/a,n/a,n/a
Tuvalu,2010,WB,3.6
Uganda,2019,WB,42.2
Ukraine,2020,WB,0
United Arab Emirates,2018,WB,0
United Kingdom of Great Britain and Northern Ireland,2018,WB,0
United Republic of Tanzania,2018,WB,44.9
United States of America,2019,WB,1
United States Virgin Islands,n/a,n/a,n/a
Uruguay,2020,WB,0.2
Uzbekistan,2003,WB,82.2
Vanuatu,2019,WB,10
Venezuela (Bolivarian Republic of),2006,WB,7.1
Viet Nam,2018,WB,1.2
Yemen,2014,WB,19.8
Zambia,2015,WB,61.4
Zimbabwe,2019,WB,39.8
